case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
535.0,no checking,existing paid,radio/tv,3105.0,no known savings,<1,male single,25.0,skilled,good
536.0,>=200,critical/other existing credit,education,2319.0,<100,<1,male div/sep,33.0,skilled,bad
537.0,<0,existing paid,new car,1374.0,no known savings,unemployed,female div/sep/mar,75.0,high qualif/self emp/mgmt,good
538.0,0<=X<200,critical/other existing credit,furniture/equipment,3612.0,<100,>=7,female div/sep/mar,37.0,skilled,good
539.0,<0,existing paid,new car,7763.0,<100,>=7,male single,42.0,high qualif/self emp/mgmt,bad
540.0,>=200,existing paid,furniture/equipment,3049.0,<100,<1,female div/sep/mar,45.0,unskilled resident,good
541.0,0<=X<200,existing paid,radio/tv,1534.0,<100,<1,male mar/wid,23.0,skilled,bad
542.0,no checking,delayed previously,new car,2032.0,<100,>=7,male single,60.0,skilled,good
543.0,<0,existing paid,furniture/equipment,6350.0,no known savings,>=7,male single,31.0,skilled,bad
544.0,>=200,existing paid,furniture/equipment,2864.0,<100,1<=X<4,male single,34.0,unskilled resident,bad
545.0,no checking,critical/other existing credit,new car,1255.0,<100,>=7,male single,61.0,unskilled resident,good
546.0,<0,delayed previously,new car,1333.0,<100,unemployed,male single,43.0,skilled,bad
547.0,no checking,critical/other existing credit,new car,2022.0,<100,1<=X<4,female div/sep/mar,37.0,skilled,good
548.0,no checking,existing paid,radio/tv,1552.0,<100,4<=X<7,male single,32.0,skilled,good
549.0,<0,all paid,radio/tv,626.0,<100,1<=X<4,female div/sep/mar,24.0,unskilled resident,bad
550.0,no checking,critical/other existing credit,used car,8858.0,no known savings,4<=X<7,male single,35.0,skilled,good
551.0,no checking,critical/other existing credit,repairs,996.0,no known savings,4<=X<7,female div/sep/mar,23.0,skilled,good
552.0,no checking,all paid,radio/tv,1750.0,500<=X<1000,>=7,male single,45.0,unskilled resident,good
553.0,<0,existing paid,radio/tv,6999.0,<100,4<=X<7,male mar/wid,34.0,skilled,bad
554.0,0<=X<200,critical/other existing credit,new car,1995.0,100<=X<500,<1,male single,27.0,skilled,good
555.0,0<=X<200,existing paid,education,1199.0,<100,4<=X<7,female div/sep/mar,67.0,high qualif/self emp/mgmt,good
556.0,0<=X<200,existing paid,radio/tv,1331.0,<100,<1,male single,22.0,skilled,bad
557.0,0<=X<200,no credits/all paid,new car,2278.0,100<=X<500,<1,female div/sep/mar,28.0,skilled,bad
558.0,no checking,no credits/all paid,new car,5003.0,no known savings,1<=X<4,female div/sep/mar,29.0,skilled,bad
559.0,<0,all paid,furniture/equipment,3552.0,<100,4<=X<7,male single,27.0,skilled,bad
560.0,0<=X<200,critical/other existing credit,furniture/equipment,1928,<100,<1,male single,31.0,unskilled resident,bad
561.0,<0,existing paid,used car,2964.0,no known savings,>=7,male single,49.0,skilled,good
562.0,<0,all paid,radio/tv,1546.0,<100,4<=X<7,male single,24.0,unskilled resident,bad
563.0,>=200,delayed previously,radio/tv,683.0,<100,<1,female div/sep/mar,29.0,skilled,good
564.0,0<=X<200,existing paid,new car,12389.0,no known savings,1<=X<4,male single,37.0,skilled,bad
565.0,0<=X<200,delayed previously,business,4712.0,no known savings,1<=X<4,male single,37.0,high qualif/self emp/mgmt,good
566.0,0<=X<200,delayed previously,radio/tv,1553.0,100<=X<500,4<=X<7,female div/sep/mar,23.0,skilled,good
567.0,<0,existing paid,new car,1372.0,<100,4<=X<7,male div/sep,36.0,skilled,bad
568.0,no checking,critical/other existing credit,radio/tv,2578.0,>=1000,>=7,male single,34.0,skilled,good
569.0,0<=X<200,existing paid,radio/tv,3979.0,no known savings,4<=X<7,male single,41.0,skilled,good
570.0,<0,existing paid,radio/tv,6758.0,<100,1<=X<4,female div/sep/mar,31.0,skilled,bad
571.0,<0,existing paid,furniture/equipment,3234.0,<100,<1,female div/sep/mar,23.0,unskilled resident,bad
572.0,no checking,critical/other existing credit,radio/tv,5954.0,<100,4<=X<7,male single,38.0,skilled,good
573.0,no checking,existing paid,used car,5433.0,no known savings,unemployed,female div/sep/mar,26.0,high qualif/self emp/mgmt,good
574.0,<0,existing paid,business,806.0,<100,1<=X<4,female div/sep/mar,22.0,unskilled resident,good
575.0,0<=X<200,existing paid,radio/tv,1082.0,<100,>=7,male single,27.0,unskilled resident,good
576.0,no checking,critical/other existing credit,furniture/equipment,2788.0,<100,4<=X<7,female div/sep/mar,24.0,skilled,good
577.0,0<=X<200,existing paid,radio/tv,2930.0,<100,4<=X<7,female div/sep/mar,27.0,skilled,good
578.0,no checking,critical/other existing credit,education,1927.0,no known savings,1<=X<4,female div/sep/mar,33.0,skilled,good
579.0,0<=X<200,critical/other existing credit,new car,2820.0,<100,<1,male div/sep,27.0,skilled,bad
580.0,no checking,existing paid,retraining,937.0,<100,<1,male mar/wid,27.0,unskilled resident,good
581.0,0<=X<200,critical/other existing credit,new car,1056.0,<100,>=7,male single,30.0,skilled,bad
582.0,0<=X<200,critical/other existing credit,new car,3124.0,<100,<1,male single,49.0,unskilled resident,good
583.0,no checking,existing paid,furniture/equipment,1388.0,<100,1<=X<4,female div/sep/mar,26.0,skilled,good
584.0,0<=X<200,existing paid,repairs,2384.0,<100,<1,male single,33.0,unskilled resident,bad
585.0,no checking,existing paid,new car,2133.0,no known savings,>=7,female div/sep/mar,52.0,high qualif/self emp/mgmt,good
586.0,<0,existing paid,furniture/equipment,2039.0,<100,1<=X<4,female div/sep/mar,20.0,skilled,bad
587.0,<0,critical/other existing credit,new car,2799.0,<100,1<=X<4,male single,36.0,skilled,good
588.0,<0,existing paid,furniture/equipment,1289.0,<100,1<=X<4,male single,21.0,unskilled resident,good
589.0,<0,existing paid,domestic appliance,1217.0,<100,1<=X<4,male mar/wid,47.0,unskilled resident,bad
590.0,<0,critical/other existing credit,furniture/equipment,2246.0,<100,>=7,male single,60.0,skilled,bad
591.0,<0,critical/other existing credit,radio/tv,385.0,<100,4<=X<7,female div/sep/mar,58.0,unskilled resident,good
592.0,0<=X<200,delayed previously,new car,1965.0,no known savings,1<=X<4,female div/sep/mar,42.0,skilled,good
593.0,no checking,existing paid,business,1572.0,>=1000,>=7,female div/sep/mar,36.0,unskilled resident,good
594.0,0<=X<200,existing paid,new car,2718.0,<100,1<=X<4,female div/sep/mar,20.0,unskilled resident,bad
595.0,<0,all paid,other,13580,no known savings,>=7,male single,40.0,high qualif/self emp/mgmt,bad
596.0,0<=X<200,all paid,new car,931.0,100<=X<500,<1,female div/sep/mar,32.0,unskilled resident,bad
597.0,<0,existing paid,new car,1442.0,<100,4<=X<7,female div/sep/mar,23.0,skilled,bad
598.0,0<=X<200,no credits/all paid,business,4241.0,<100,1<=X<4,male single,36.0,unskilled resident,bad
599.0,no checking,critical/other existing credit,new car,2775.0,<100,4<=X<7,male single,31.0,skilled,bad
600.0,no checking,delayed previously,business,3863.0,<100,1<=X<4,male single,32.0,skilled,good
601.0,0<=X<200,existing paid,radio/tv,2329.0,<100,<1,female div/sep/mar,45.0,skilled,good
602.0,0<=X<200,existing paid,furniture/equipment,918.0,<100,1<=X<4,female div/sep/mar,30.0,skilled,bad
603.0,0<=X<200,all paid,education,1837.0,<100,4<=X<7,female div/sep/mar,34.0,unskilled resident,bad
604.0,no checking,existing paid,furniture/equipment,3349.0,<100,1<=X<4,female div/sep/mar,28.0,high qualif/self emp/mgmt,bad
605.0,>=200,existing paid,furniture/equipment,1275.0,<100,<1,female div/sep/mar,23.0,skilled,good
606.0,<0,all paid,furniture/equipment,2828.0,500<=X<1000,1<=X<4,male single,22.0,skilled,good
607.0,no checking,critical/other existing credit,business,4526.0,<100,1<=X<4,male single,74.0,high qualif/self emp/mgmt,good
608.0,0<=X<200,existing paid,radio/tv,2671.0,100<=X<500,1<=X<4,female div/sep/mar,50.0,skilled,bad
609.0,no checking,existing paid,radio/tv,2051.0,<100,<1,male single,33.0,skilled,good
610.0,no checking,existing paid,used car,1300.0,no known savings,>=7,male single,45.0,skilled,good
611.0,<0,existing paid,domestic appliance,741.0,100<=X<500,unemployed,female div/sep/mar,22.0,skilled,bad
612.0,>=200,existing paid,new car,1240.0,100<=X<500,>=7,female div/sep/mar,48.0,unskilled resident,bad
613.0,<0,existing paid,radio/tv,3357.0,>=1000,<1,female div/sep/mar,29.0,skilled,good
614.0,<0,all paid,used car,3632.0,<100,1<=X<4,female div/sep/mar,22.0,skilled,good
615.0,no checking,delayed previously,furniture/equipment,1808.0,<100,4<=X<7,female div/sep/mar,22.0,skilled,bad
616.0,0<=X<200,no credits/all paid,business,12204.0,no known savings,1<=X<4,male single,48.0,high qualif/self emp/mgmt,good
617.0,0<=X<200,delayed previously,radio/tv,9157.0,no known savings,1<=X<4,male single,27.0,high qualif/self emp/mgmt,good
618.0,<0,critical/other existing credit,new car,3676.0,<100,1<=X<4,male single,37.0,skilled,good
619.0,0<=X<200,existing paid,furniture/equipment,3441.0,100<=X<500,1<=X<4,female div/sep/mar,21.0,skilled,bad
620.0,no checking,existing paid,new car,640.0,<100,1<=X<4,male div/sep,49.0,unskilled resident,good
621.0,0<=X<200,critical/other existing credit,business,3652.0,<100,4<=X<7,male single,27.0,skilled,good
622.0,no checking,critical/other existing credit,new car,1530.0,<100,1<=X<4,male single,32.0,skilled,bad
623.0,no checking,existing paid,business,3914.0,no known savings,1<=X<4,male div/sep,38.0,skilled,bad
624.0,<0,existing paid,furniture/equipment,1858.0,<100,<1,female div/sep/mar,22.0,skilled,good
625.0,<0,existing paid,radio/tv,2600.0,<100,1<=X<4,male single,65.0,skilled,bad
626.0,no checking,existing paid,radio/tv,1979.0,no known savings,>=7,male single,35.0,skilled,good
627.0,>=200,existing paid,furniture/equipment,2116.0,<100,1<=X<4,male single,41.0,skilled,good
628.0,0<=X<200,all paid,new car,1437.0,100<=X<500,4<=X<7,male single,29.0,skilled,bad
629.0,no checking,critical/other existing credit,furniture/equipment,4042.0,500<=X<1000,1<=X<4,male single,36.0,skilled,good
630.0,no checking,existing paid,education,3832.0,no known savings,>=7,male single,64.0,unskilled resident,good
631.0,<0,existing paid,radio/tv,3660.0,<100,1<=X<4,female div/sep/mar,28.0,skilled,good
632.0,<0,all paid,furniture/equipment,1553.0,<100,1<=X<4,male single,44.0,skilled,bad
633.0,0<=X<200,existing paid,radio/tv,1444.0,no known savings,<1,male single,23.0,skilled,good
634.0,no checking,existing paid,furniture/equipment,1980.0,<100,<1,female div/sep/mar,19.0,skilled,bad
635.0,0<=X<200,existing paid,new car,1355.0,<100,<1,female div/sep/mar,25.0,unskilled resident,bad
636.0,no checking,existing paid,education,1393.0,<100,>=7,male single,47.0,skilled,good
637.0,no checking,existing paid,radio/tv,1376.0,500<=X<1000,4<=X<7,female div/sep/mar,28.0,skilled,good
638.0,no checking,delayed previously,radio/tv,15653.0,<100,4<=X<7,male single,21.0,skilled,good
639.0,no checking,existing paid,radio/tv,1493.0,<100,<1,female div/sep/mar,34.0,skilled,good
640.0,<0,delayed previously,radio/tv,4370.0,<100,4<=X<7,male single,26.0,skilled,bad
641.0,<0,existing paid,education,750.0,<100,unemployed,female div/sep/mar,27.0,unemp/unskilled non res,bad
642.0,0<=X<200,existing paid,repairs,1308.0,<100,>=7,male single,38.0,unskilled resident,good
643.0,no checking,existing paid,education,4623.0,100<=X<500,1<=X<4,male single,40.0,high qualif/self emp/mgmt,bad
644.0,no checking,critical/other existing credit,radio/tv,1851.0,<100,4<=X<7,male mar/wid,33.0,skilled,good
645.0,<0,critical/other existing credit,radio/tv,1880.0,<100,4<=X<7,male mar/wid,32.0,high qualif/self emp/mgmt,good
646.0,no checking,delayed previously,business,7980.0,no known savings,<1,male single,27.0,skilled,bad
647.0,<0,no credits/all paid,furniture/equipment,4583.0,<100,1<=X<4,male div/sep,32.0,skilled,good
648.0,no checking,existing paid,new car,1386,500<=X<1000,1<=X<4,female div/sep/mar,26.0,skilled,bad
649.0,>=200,existing paid,new car,947.0,<100,4<=X<7,male single,38.0,skilled,bad
650.0,<0,existing paid,education,684.0,<100,1<=X<4,male single,40.0,unskilled resident,bad
651.0,<0,existing paid,education,7476.0,<100,4<=X<7,male single,50.0,high qualif/self emp/mgmt,good
652.0,0<=X<200,existing paid,furniture/equipment,1922.0,<100,1<=X<4,male single,37.0,unskilled resident,bad
653.0,<0,existing paid,new car,2303.0,<100,>=7,male single,45.0,skilled,bad
654.0,0<=X<200,delayed previously,new car,8086.0,100<=X<500,>=7,male single,42.0,high qualif/self emp/mgmt,bad
655.0,no checking,critical/other existing credit,used car,2346.0,<100,4<=X<7,male single,35.0,skilled,good
656.0,<0,existing paid,new car,3973.0,<100,unemployed,male single,22.0,skilled,good
657.0,0<=X<200,existing paid,new car,888.0,<100,>=7,male single,41.0,unskilled resident,bad
658.0,no checking,existing paid,radio/tv,10222.0,no known savings,4<=X<7,male single,37.0,skilled,good
659.0,0<=X<200,no credits/all paid,business,4221.0,<100,1<=X<4,female div/sep/mar,28.0,skilled,good
660.0,0<=X<200,critical/other existing credit,furniture/equipment,6361,<100,>=7,male single,41.0,skilled,good
661.0,>=200,existing paid,radio/tv,1297.0,<100,1<=X<4,male mar/wid,23.0,skilled,good
662.0,<0,existing paid,new car,900.0,no known savings,1<=X<4,male mar/wid,23.0,skilled,bad
663.0,no checking,existing paid,furniture/equipment,2241.0,<100,>=7,male single,50.0,skilled,good
664.0,0<=X<200,delayed previously,furniture/equipment,1050.0,<100,unemployed,male single,35.0,high qualif/self emp/mgmt,good
665.0,>=200,critical/other existing credit,education,1047.0,<100,1<=X<4,female div/sep/mar,50.0,unskilled resident,good
666.0,no checking,critical/other existing credit,other,6314.0,<100,unemployed,male single,27.0,high qualif/self emp/mgmt,good
667.0,0<=X<200,all paid,furniture/equipment,3496.0,>=1000,1<=X<4,male single,34.0,skilled,good
668.0,no checking,all paid,business,3609.0,<100,1<=X<4,female div/sep/mar,27.0,skilled,good
669.0,<0,critical/other existing credit,new car,4843.0,<100,>=7,male single,43.0,skilled,bad
670.0,>=200,critical/other existing credit,radio/tv,3017.0,<100,>=7,male single,47.0,skilled,good
671.0,no checking,critical/other existing credit,business,4139.0,100<=X<500,1<=X<4,male single,27.0,unskilled resident,good
672.0,no checking,existing paid,business,5742.0,100<=X<500,4<=X<7,male single,31.0,skilled,good
673.0,no checking,existing paid,new car,10366.0,<100,>=7,male single,42.0,high qualif/self emp/mgmt,good
674.0,no checking,critical/other existing credit,new car,2080.0,500<=X<1000,1<=X<4,male mar/wid,24.0,skilled,good
675.0,no checking,delayed previously,business,2580.0,500<=X<1000,<1,male single,41.0,unskilled resident,bad
676.0,no checking,critical/other existing credit,radio/tv,4530.0,<100,4<=X<7,female div/sep/mar,26.0,high qualif/self emp/mgmt,good
677.0,no checking,critical/other existing credit,furniture/equipment,5150.0,<100,>=7,male single,33.0,skilled,good
678.0,0<=X<200,existing paid,radio/tv,5595.0,100<=X<500,1<=X<4,male mar/wid,24.0,skilled,bad
679.0,<0,existing paid,radio/tv,2384.0,<100,>=7,male single,64.0,unskilled resident,good
680.0,no checking,existing paid,radio/tv,1453.0,<100,<1,female div/sep/mar,26.0,skilled,good
681.0,no checking,existing paid,education,1538.0,<100,<1,female div/sep/mar,56.0,skilled,good
682.0,no checking,existing paid,radio/tv,2279.0,no known savings,1<=X<4,male single,37.0,skilled,good
683.0,no checking,delayed previously,radio/tv,1478.0,<100,1<=X<4,male mar/wid,33.0,skilled,good
684.0,no checking,critical/other existing credit,radio/tv,5103.0,<100,<1,male mar/wid,47.0,skilled,good
685.0,0<=X<200,delayed previously,business,9857.0,100<=X<500,4<=X<7,male single,31.0,unskilled resident,good
686.0,no checking,existing paid,new car,6527.0,no known savings,1<=X<4,male single,34.0,skilled,good
687.0,>=200,critical/other existing credit,radio/tv,1347.0,no known savings,4<=X<7,male single,27.0,skilled,good
688.0,0<=X<200,delayed previously,new car,2862.0,100<=X<500,>=7,male single,30.0,skilled,good
689.0,no checking,existing paid,radio/tv,2753.0,100<=X<500,>=7,male single,35.0,skilled,good
690.0,<0,existing paid,new car,3651.0,>=1000,1<=X<4,male single,31.0,skilled,good
691.0,<0,critical/other existing credit,furniture/equipment,975.0,<100,1<=X<4,male div/sep,25.0,skilled,good
692.0,0<=X<200,existing paid,repairs,2631.0,100<=X<500,1<=X<4,female div/sep/mar,25.0,unskilled resident,good
693.0,0<=X<200,existing paid,radio/tv,2896.0,100<=X<500,<1,male single,29.0,skilled,good
694.0,<0,critical/other existing credit,new car,4716.0,no known savings,<1,male single,44.0,unskilled resident,good
695.0,no checking,existing paid,radio/tv,2284.0,<100,4<=X<7,male single,28.0,skilled,good
696.0,no checking,existing paid,used car,1236.0,500<=X<1000,1<=X<4,male single,50.0,skilled,good
697.0,0<=X<200,existing paid,radio/tv,1103.0,<100,4<=X<7,male single,29.0,skilled,good
698.0,no checking,critical/other existing credit,new car,926.0,<100,unemployed,female div/sep/mar,38.0,unemp/unskilled non res,good
699.0,no checking,critical/other existing credit,radio/tv,1800.0,<100,1<=X<4,male single,24.0,skilled,good
700.0,>=200,existing paid,education,1905.0,<100,>=7,male single,40.0,high qualif/self emp/mgmt,good
701.0,no checking,existing paid,furniture/equipment,1123.0,500<=X<1000,1<=X<4,female div/sep/mar,29.0,unskilled resident,bad
702.0,<0,critical/other existing credit,used car,6331.0,<100,>=7,male single,46.0,skilled,bad
703.0,>=200,existing paid,radio/tv,1377.0,100<=X<500,>=7,female div/sep/mar,47.0,skilled,good
704.0,0<=X<200,delayed previously,business,2503.0,100<=X<500,>=7,male single,41.0,skilled,good
705.0,0<=X<200,existing paid,business,2528.0,<100,<1,female div/sep/mar,32.0,skilled,good
706.0,no checking,existing paid,new car,5324.0,500<=X<1000,>=7,female div/sep/mar,35.0,skilled,good
707.0,0<=X<200,existing paid,new car,6560.0,100<=X<500,4<=X<7,male single,24.0,skilled,bad
708.0,0<=X<200,no credits/all paid,furniture/equipment,2969.0,<100,<1,female div/sep/mar,25.0,skilled,bad
709.0,0<=X<200,existing paid,radio/tv,1206.0,<100,>=7,female div/sep/mar,25.0,skilled,good
710.0,0<=X<200,existing paid,radio/tv,2118.0,<100,1<=X<4,male single,37.0,unskilled resident,good
711.0,no checking,critical/other existing credit,radio/tv,629.0,500<=X<1000,>=7,male single,32.0,high qualif/self emp/mgmt,good
712.0,<0,all paid,education,1198.0,<100,>=7,female div/sep/mar,35.0,skilled,bad
713.0,no checking,existing paid,used car,2476.0,no known savings,>=7,male single,46.0,high qualif/self emp/mgmt,good
714.0,<0,critical/other existing credit,radio/tv,1138.0,<100,1<=X<4,male single,25.0,unskilled resident,good
715.0,0<=X<200,existing paid,new car,14027.0,<100,4<=X<7,male single,27.0,high qualif/self emp/mgmt,bad
716.0,no checking,critical/other existing credit,used car,7596.0,no known savings,>=7,male single,63.0,skilled,good
717.0,no checking,critical/other existing credit,radio/tv,3077.0,no known savings,>=7,male single,40.0,skilled,good
718.0,no checking,existing paid,radio/tv,1505.0,<100,1<=X<4,male single,32.0,high qualif/self emp/mgmt,good
719.0,>=200,critical/other existing credit,radio/tv,3148.0,no known savings,1<=X<4,male single,31.0,skilled,good
720.0,0<=X<200,no credits/all paid,used car,6148.0,100<=X<500,>=7,male mar/wid,31.0,skilled,good
721.0,>=200,no credits/all paid,radio/tv,1337.0,<100,<1,male single,34.0,high qualif/self emp/mgmt,bad
722.0,0<=X<200,all paid,education,433.0,>=1000,<1,female div/sep/mar,24.0,skilled,bad
723.0,<0,existing paid,new car,1228.0,<100,1<=X<4,female div/sep/mar,24.0,unskilled resident,bad
724.0,0<=X<200,existing paid,radio/tv,790.0,500<=X<1000,1<=X<4,female div/sep/mar,66.0,unskilled resident,good
725.0,no checking,existing paid,new car,2570.0,<100,1<=X<4,female div/sep/mar,21.0,skilled,bad
726.0,no checking,critical/other existing credit,new car,250.0,>=1000,1<=X<4,female div/sep/mar,41.0,unskilled resident,good
727.0,no checking,critical/other existing credit,radio/tv,1316.0,500<=X<1000,1<=X<4,male mar/wid,47.0,unskilled resident,good
728.0,<0,existing paid,radio/tv,1882.0,<100,1<=X<4,female div/sep/mar,25.0,skilled,bad
729.0,0<=X<200,all paid,business,6416.0,<100,>=7,female div/sep/mar,59.0,skilled,bad
730.0,>=200,critical/other existing credit,business,1275.0,>=1000,1<=X<4,male div/sep,36.0,skilled,good
731.0,0<=X<200,delayed previously,radio/tv,6403.0,<100,<1,male single,33.0,skilled,good
732.0,<0,existing paid,radio/tv,1987.0,<100,1<=X<4,male single,21.0,unskilled resident,bad
733.0,0<=X<200,existing paid,radio/tv,760.0,<100,4<=X<7,female div/sep/mar,44.0,unskilled resident,good
734.0,no checking,existing paid,used car,2603.0,>=1000,1<=X<4,female div/sep/mar,28.0,skilled,good
735.0,no checking,critical/other existing credit,new car,3380.0,<100,4<=X<7,female div/sep/mar,37.0,skilled,good
736.0,0<=X<200,all paid,domestic appliance,3990.0,no known savings,<1,female div/sep/mar,29.0,unemp/unskilled non res,good
737.0,0<=X<200,existing paid,used car,11560.0,<100,1<=X<4,female div/sep/mar,23.0,high qualif/self emp/mgmt,bad
738.0,<0,existing paid,new car,4380.0,100<=X<500,1<=X<4,male single,35.0,unskilled resident,good
739.0,no checking,critical/other existing credit,new car,6761.0,<100,4<=X<7,male single,45.0,high qualif/self emp/mgmt,good
740.0,0<=X<200,no credits/all paid,business,4280.0,100<=X<500,1<=X<4,female div/sep/mar,26.0,unskilled resident,bad
741.0,<0,all paid,new car,2325.0,100<=X<500,4<=X<7,male single,32.0,skilled,good
742.0,0<=X<200,all paid,radio/tv,1048.0,<100,1<=X<4,male single,23.0,unskilled resident,good
743.0,no checking,existing paid,radio/tv,3160.0,no known savings,>=7,male single,41.0,skilled,good
744.0,<0,all paid,furniture/equipment,2483.0,500<=X<1000,1<=X<4,male single,22.0,skilled,good
745.0,<0,critical/other existing credit,furniture/equipment,14179.0,no known savings,4<=X<7,male single,30.0,high qualif/self emp/mgmt,good
746.0,<0,critical/other existing credit,business,1797.0,<100,<1,male single,28.0,unskilled resident,good
747.0,<0,existing paid,new car,2511.0,<100,unemployed,female div/sep/mar,23.0,skilled,good
748.0,<0,existing paid,new car,1274.0,<100,<1,female div/sep/mar,37.0,unskilled resident,bad
749.0,no checking,existing paid,used car,5248.0,no known savings,1<=X<4,male single,26.0,skilled,good
750.0,no checking,existing paid,used car,3029.0,<100,4<=X<7,male single,33.0,skilled,good
751.0,<0,existing paid,furniture/equipment,428.0,<100,>=7,female div/sep/mar,49.0,skilled,good
752.0,<0,existing paid,new car,976.0,<100,<1,female div/sep/mar,23.0,unskilled resident,bad
753.0,0<=X<200,existing paid,business,841.0,100<=X<500,4<=X<7,female div/sep/mar,23.0,unskilled resident,good
754.0,no checking,critical/other existing credit,radio/tv,5771.0,<100,4<=X<7,female div/sep/mar,25.0,skilled,good
755.0,no checking,delayed previously,repairs,1555.0,>=1000,>=7,male single,55.0,skilled,bad
756.0,<0,existing paid,new car,1285.0,no known savings,4<=X<7,female div/sep/mar,32.0,skilled,bad
757.0,>=200,critical/other existing credit,new car,1299.0,<100,1<=X<4,male single,74.0,unemp/unskilled non res,good
758.0,>=200,critical/other existing credit,radio/tv,1271.0,no known savings,1<=X<4,male single,39.0,skilled,bad
759.0,no checking,existing paid,new car,1393.0,<100,1<=X<4,male single,31.0,skilled,good
760.0,<0,critical/other existing credit,new car,691.0,<100,>=7,male single,35.0,skilled,bad
761.0,no checking,critical/other existing credit,new car,5045.0,no known savings,>=7,female div/sep/mar,59.0,skilled,good
762.0,<0,critical/other existing credit,furniture/equipment,2124.0,<100,1<=X<4,female div/sep/mar,24.0,skilled,bad
763.0,<0,existing paid,radio/tv,2214.0,<100,1<=X<4,male single,24.0,unskilled resident,good
764.0,no checking,critical/other existing credit,new car,12680.0,no known savings,>=7,male single,30.0,high qualif/self emp/mgmt,bad
765.0,no checking,critical/other existing credit,new car,2463.0,100<=X<500,4<=X<7,male mar/wid,27.0,skilled,good
766.0,0<=X<200,existing paid,radio/tv,1155.0,<100,>=7,male mar/wid,40.0,unskilled resident,good
767.0,<0,existing paid,furniture/equipment,3108.0,<100,<1,male div/sep,31.0,unskilled resident,bad
768.0,no checking,existing paid,used car,2901.0,no known savings,<1,female div/sep/mar,31.0,skilled,good
769.0,0<=X<200,critical/other existing credit,furniture/equipment,3617.0,<100,>=7,male single,28.0,skilled,good
770.0,no checking,critical/other existing credit,radio/tv,1655.0,<100,>=7,male single,63.0,unskilled resident,good
771.0,<0,existing paid,used car,2812.0,no known savings,>=7,female div/sep/mar,26.0,skilled,good
772.0,<0,critical/other existing credit,education,8065.0,<100,1<=X<4,female div/sep/mar,25.0,high qualif/self emp/mgmt,bad
773.0,no checking,critical/other existing credit,used car,3275.0,<100,>=7,male single,36.0,high qualif/self emp/mgmt,good
774.0,no checking,critical/other existing credit,radio/tv,2223.0,100<=X<500,>=7,male single,52.0,skilled,good
775.0,>=200,critical/other existing credit,new car,1480.0,500<=X<1000,unemployed,male single,66.0,unemp/unskilled non res,good
776.0,<0,existing paid,new car,1371.0,no known savings,1<=X<4,female div/sep/mar,25.0,skilled,bad
777.0,no checking,critical/other existing credit,new car,3535.0,<100,4<=X<7,male single,37.0,skilled,good
778.0,<0,existing paid,radio/tv,3509.0,<100,4<=X<7,female div/sep/mar,25.0,skilled,good
779.0,no checking,critical/other existing credit,used car,5711.0,>=1000,>=7,male single,38.0,high qualif/self emp/mgmt,good
780.0,0<=X<200,existing paid,repairs,3872.0,<100,unemployed,female div/sep/mar,67.0,skilled,good
781.0,0<=X<200,critical/other existing credit,radio/tv,4933.0,<100,4<=X<7,male single,25.0,skilled,bad
782.0,no checking,critical/other existing credit,new car,1940.0,>=1000,>=7,male single,60.0,skilled,good
783.0,0<=X<200,no credits/all paid,retraining,1410.0,<100,1<=X<4,male single,31.0,unskilled resident,good
784.0,0<=X<200,existing paid,new car,836.0,100<=X<500,<1,female div/sep/mar,23.0,unskilled resident,bad
785.0,0<=X<200,existing paid,used car,6468.0,no known savings,unemployed,male div/sep,60.0,high qualif/self emp/mgmt,good
786.0,0<=X<200,existing paid,business,1941.0,>=1000,1<=X<4,male single,35.0,unskilled resident,good
787.0,no checking,existing paid,radio/tv,2675.0,500<=X<1000,>=7,male single,40.0,skilled,good
788.0,no checking,critical/other existing credit,used car,2751.0,no known savings,>=7,male single,38.0,skilled,good
789.0,0<=X<200,delayed previously,education,6224.0,<100,>=7,male single,50.0,skilled,bad
790.0,<0,critical/other existing credit,education,5998.0,<100,1<=X<4,male single,27.0,skilled,bad
791.0,0<=X<200,existing paid,business,1188.0,<100,>=7,female div/sep/mar,39.0,skilled,bad
792.0,no checking,existing paid,used car,6313.0,no known savings,>=7,male single,41.0,high qualif/self emp/mgmt,good
793.0,no checking,critical/other existing credit,furniture/equipment,1221.0,no known savings,1<=X<4,male mar/wid,27.0,skilled,good
794.0,>=200,existing paid,furniture/equipment,2892.0,<100,>=7,male div/sep,51.0,skilled,good
795.0,no checking,existing paid,furniture/equipment,3062.0,500<=X<1000,>=7,male single,32.0,skilled,good
796.0,no checking,existing paid,furniture/equipment,2301.0,100<=X<500,<1,female div/sep/mar,22.0,skilled,good
797.0,<0,existing paid,used car,7511.0,no known savings,>=7,male single,51.0,skilled,bad
798.0,no checking,critical/other existing credit,furniture/equipment,1258.0,<100,<1,female div/sep/mar,22.0,unskilled resident,good
799.0,no checking,delayed previously,new car,717.0,no known savings,>=7,male mar/wid,54.0,skilled,good
800.0,0<=X<200,existing paid,new car,1549.0,no known savings,<1,male single,35.0,unemp/unskilled non res,good
801.0,no checking,critical/other existing credit,education,1597.0,<100,>=7,male single,54.0,skilled,good
802.0,0<=X<200,critical/other existing credit,radio/tv,1795.0,<100,>=7,female div/sep/mar,48.0,unskilled resident,good
